date,title,text,rating
2023-11-01,"Making money fr children, but u’re children murderer!","Shame on you disney!! 100 years u try for making money from children, make a beautiful dream for them. But in the real life you’re a murderer. Murder thousands kids, or maybe millions? Bcause u’ve been around for 100 years, it means u’re a witness from the beginning when Palestine colonized. Then its not impossible that u’re contributed from the beginning!! Oh my God..",1
2023-11-03,Unistall,Sorry i must to uninstall rn cz this app help and pro to israel. Say good bye!!! ✌🏻,1
2023-11-03,#IstandwithPalestine,#IstandwithPalestine - Uninstalling and unsubscribe now,1
2023-11-02,Save Palestine,For god sake save palestine,1
2023-11-02,You support genocide and disgusting LGBT,"You support genocide.
You promote disgusting LGBTQ 🤮🤮🤮",1
2023-11-02,IM STAND WITH PALESTINE,"you killed the doctor and military family IM STAND WITH PALESTINE , YOU DONT HAVE A HUMANITY !",1
2023-11-01,Skip,"Harganya udah mahal bgt tbtb yg basic 65k 🤷🏻‍♀️tontonan disney banyak sisipan lgbt jg skrg, pro israel pula 😪 ngga lagi deh",1
2023-11-01,BOIKOT DISNEY!! BUAT IBU IBU WAJIB UNSINSTALL,Isi film banyak menyesatkan anak anak supaya menyesatkan mendukung LGBT dan penyumbang israel nauzubillah,1
2023-10-29,shame on you,"Uninstalled. Never support a brand that support a genocide moves, right people on right side, stand for palestine.",1
2023-01-16,OTP CODE,"i can not log in to my account, i get OTP code from somebody’s phone number through whatsapp, becareful guys dont use that fake OTP.",1
2025-04-05,double payment,i have subscription on feb 6 2025 and how can disney make the double subsricption on 26 march 25 at single account??,2
2025-04-04,G,Dah exp date. Mau langganan lagi ga bisa pakai GoPay dah terdaftar katanya. Bgemana sih. Mana pembayaran cuma bisa pakai GoPay. Ga punya debit. Minimal bisa pakai shope pay atau app merchan lain kek. Akhirnya aku delete ajah aplikasinya. Ga ngebantu bgt. Payah. Capek2 loging berkali2 ga bisa 2 mau langganan lagi,1
2025-03-31,Sudah di beli paket tapi ga bisa di gunain,"udah 2x beli paketnya dengan 2 akun sama sama ga bisa di gunain, disuruh upgrade terus di pake ga bisa, apl anyng",1
2025-03-30,Aplikasi termatre,Udah bayar lagi trus suruh bayar2 lagi. Capek dehhh,1
